"STUDYID","DOMAIN","USUBJID","POOLID","CLSEQ","CLGRPID","CLSPID","CLTESTCD","CLTEST","CLCAT","CLSCAT","CLBODSYS","CLORRES","CLSTRESC","CLRESCAT","CLSTAT","CLREASND","CLLOC","CLEVAL","CLSEV","CLEXCLFL","CLREASEX","VISITDY","CLDTC","CLDY","CLTPT","CLTPTNUM","CLELTM","CLTPTREF","CLRFTDTC"
"GLP003","CL","107001493",NA,1,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,1,"2007-06-12T12:31:13",1,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,2,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,2,"2007-06-13T14:46:30",2,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,3,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,3,"2007-06-14T15:22:14",3,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,4,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,4,"2007-06-15T11:07:41",4,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,5,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,5,"2007-06-16T15:18:33",5,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,6,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,6,"2007-06-17T10:32:49",6,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,7,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,7,"2007-06-18T09:53:40",7,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,8,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,8,"2007-06-19T15:04:19",8,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,9,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,9,"2007-06-20T11:10:06",9,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,10,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,10,"2007-06-21T10:33:32",10,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,11,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,11,"2007-06-22T11:08:05",11,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,12,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,12,"2007-06-23T14:59:51",12,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,13,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,13,"2007-06-24T14:12:46",13,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,14,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,14,"2007-06-25T14:36:15",14,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,15,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,15,"2007-06-26T13:03:58",15,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,16,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,16,"2007-06-27T11:22:45",16,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,17,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,17,"2007-06-28T13:48:10",17,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,18,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,18,"2007-06-29T13:13:07",18,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,19,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,19,"2007-06-30T13:30:40",19,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,20,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,20,"2007-07-01T11:24:16",20,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,21,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,21,"2007-07-02T12:30:49",21,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,22,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,22,"2007-07-03T07:58:11",22,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,23,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,23,"2007-07-04T12:50:04",23,NA,NA,NA,NA,NA
"GLP003","CL","107001493",NA,24,NA,NA,"CO","Clinical Observation","CLINICAL SIGNS",NA,NA,"NORMAL","NORMAL",NA,NA,NA,NA,NA,NA,NA,NA,24,"2007-07-05T14:24:14",24,NA,NA,NA,NA,NA
