"STUDYID","DOMAIN","RDOMAIN","USUBJID","POOLID","COSEQ","IDVAR","IDVARVAL","COREF","COVAL","COEVAL","CODTC","CODY"
"GLP003","CO","BW","107001381",NA,1,"BWSEQ","69",NA,"Body weight put in manually.",NA,NA,NA
"GLP003","CO","BW","107001424",NA,2,"BWSEQ","98",NA,"Body weight put in manually.",NA,NA,NA
"GLP003","CO","BW","107001404",NA,3,"BWSEQ","100",NA,"Body weight put in manually.",NA,NA,NA
"GLP003","CO","BW","107001445",NA,4,"BWSEQ","104",NA,"Body weight not yet entered.",NA,NA,NA
"GLP003","CO","BW","107001547",NA,5,"BWSEQ","109",NA,"Inadvertently entered wrong animal number.",NA,NA,NA
"GLP003","CO","BW","107001369",NA,6,"BWSEQ","126",NA,"Body weight put in manually.",NA,NA,NA
"GLP003","CO","BW","107001420",NA,7,"BWSEQ","129",NA,"Body weight put in manually.",NA,NA,NA
"GLP003","CO","BW","107001555",NA,8,"BWSEQ","149",NA,"incorect animal number entered",NA,NA,NA
"GLP003","CO","CL","107001387",NA,9,"CLSEQ","528",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001387",NA,10,"CLSEQ","529",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001387",NA,11,"CLSEQ","530",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001387",NA,12,"CLSEQ","531",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001387",NA,13,"CLSEQ","532",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001387",NA,14,"CLSEQ","533",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001387",NA,15,"CLSEQ","534",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001387",NA,16,"CLSEQ","535",NA,"Head stained red.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,17,"CLSEQ","597",NA,"Broken left upper incisor. Good prognosis. Trimmed 2 lower incisors and remaining upper incisor. Please feed powdered food.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,18,"CLSEQ","625",NA,"Broken top right incisor. Harcoat stained red on muzzle.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,19,"CLSEQ","626",NA,"Broken top right incisor. Harcoat stained red on muzzle.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,20,"CLSEQ","627",NA,"Broken top right incisor. Harcoat stained red on muzzle.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,21,"CLSEQ","628",NA,"Broken top right incisor. Harcoat stained red on muzzle.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,22,"CLSEQ","629",NA,"Broken top right incisor. Harcoat stained red on muzzle.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,23,"CLSEQ","630",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,24,"CLSEQ","631",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,25,"CLSEQ","632",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,26,"CLSEQ","633",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,27,"CLSEQ","634",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,28,"CLSEQ","635",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,29,"CLSEQ","636",NA,"Broken top right incisor.",NA,NA,NA
"GLP003","CO","CL","107001423",NA,30,"CLSEQ","637",NA,"Broken top right incisor.",NA,NA,NA
